"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"Cyanidin","Cyanidin","HMDB0002708","128861","27843","C05905","3413","OC1=CC(O)=C2C=C(O)C(=[O+]C2=C1)C1=CC(O)=C(O)C=C1","1"
"Gingerol","Gingerol","HMDB0005783","3473",NA,"C10462",NA,"CCCCCC(O)CC(=O)CCC1=CC=C(O)C(OC)=C1","1"
"Trimipramine","Trimipramine","HMDB0014864","5584","9738",NA,NA,"CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12","1"
"Imazalil","Enilconazole","HMDB0031794","37175","83829","C18739",NA,"ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC=C","1"
"Kaempferide","Kaempferide","HMDB0037441","5281666","6099","C10098",NA,"COC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1","1"
"Temazepam","Temazepam","HMDB0014376","5391","195909","C07125",NA,"CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1","1"
"Valine","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"Benzimidazole","Benzimidazole","HMDB0248993","5798","41275","C02009",NA,"N1C=NC2=CC=CC=C12","1"
"Citalopram","Citalopram","HMDB0005038","2771","77397","C07572","1781","CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1","1"
"Boldine","NA","NA","NA","NA","NA","NA","NA","0"
"N,N-Dimethylaniline","N,N-Dimethylaniline","HMDB0001020","949","16269","C02846","5949","CN(C)C1=CC=CC=C1","1"
"Strychnine","Strychnine",NA,"8753",NA,NA,NA,NA,"1"
"Poldine","NA","NA","NA","NA","NA","NA","NA","0"
"Lactose","Alpha-Lactose","HMDB0000186","84571","36219","C00243","267","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O","1"
"Enalaprilat","Enalaprilat","HMDB0041886","6917719","4786","C11720",NA,"[H][C@@](C)(N[C@@]([H])(CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@@]1([H])C(O)=O","1"
"N,N-Dimethylsulfamide","NA","NA","NA","NA","NA","NA","NA","0"
"Ajmalicine","Ajmalicine","HMDB0248072","251561",NA,"C09024",NA,"COC(=O)C1=COC(C)C2CN3CCC4=C(NC5=CC=CC=C45)C3CC12","1"
"Gentiobiose","NA","NA","NA","NA","NA","NA","NA","0"
"Methoxyfenozide","Methoxyfenozide","HMDB0254547",NA,"38449","C18525",NA,"COC1=CC=CC(C(=O)NN(C(=O)C2=CC(C)=CC(C)=C2)C(C)(C)C)=C1C","1"
"Thioridazine","Thioridazine","HMDB0014817","5452","9566",NA,NA,"CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1","1"
"Methylprednisolone","Methylprednisolone","HMDB0015094","6741","6888",NA,NA,"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C","1"
"Dihydrozeatin-9-beta-D-glucoside","Dihydrozeatin-9-N-glucoside","HMDB0012213","11545443",NA,NA,NA,"C[C@H](CO)CCNC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O","1"
"5-Fluorouracil","Fluorouracil","HMDB0014684","3385","46345","C07649",NA,"FC1=CNC(=O)NC1=O","1"
"Di(ethylhexyl) phthalate","Bis(2-ethylhexyl) phthalate","HMDB0249243",NA,"17747","C03690",NA,"CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC","1"
"Pinoxaden","NA","NA","NA","NA","NA","NA","NA","0"
"Asparagine","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"Aspartic acid","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
"Lincomycin","Lincomycin","HMDB0015564","656509","6472","C06812",NA,"[H][C@@]1(O[C@]([H])([C@H](NC(=O)C2C[C@@H](CCC)CN2C)[C@@H](C)O)[C@H](O)[C@H](O)[C@H]1O)SC","1"
"Simvastatin","Simvastatin","HMDB0005007","54454","9150",NA,"2443","[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC","1"
"4-Isopropylaniline","NA","NA","NA","NA","NA","NA","NA","0"
"Irbesartan","Irbesartan","HMDB0015163","3749","5959","C07469",NA,"CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1","1"
"Tyramine","Tyramine","HMDB0000306","5610","15760","C00483","60","NCCC1=CC=C(O)C=C1","1"
"Urocanic acid","Urocanic acid","HMDB0000301","736715","30817","C00785","298","OC(=O)\C=C\C1=CNC=N1","1"
"Vitamin K1","Vitamin K1","HMDB0003555","5284607","18067","C05850","7027","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CC1=C(C)C(=O)C2=C(C=CC=C2)C1=O","1"
"Emetine","Emetine","METPA0972",NA,"4781","C09421",NA,NA,"1"
"Glutamic acid","Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"Phthalic anhydride","Phthalic anhydride","HMDB0256501",NA,"36605",NA,NA,"O=C1OC(=O)C2=CC=CC=C12","1"
"2-Mercapto benzimidazole","NA","NA","NA","NA","NA","NA","NA","0"
"Taurocholate","Taurocholic acid","HMDB0000036","6675","28865","C05122","5104","[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O","1"
"Ribitol","Ribitol","HMDB0000508",NA,"15963","C00474","316","OC[C@H](O)[C@H](O)[C@H](O)CO","1"
"Apramycin","Apramycin","HMDB0248529","439519",NA,"C01555",NA,"CNC1C(O)C2OC(OC3C(N)CC(N)C(O)C3O)C(N)CC2OC1OC1OC(CO)C(N)C(O)C1O","1"
"6-Methylcoumarin","6-Methylcoumarin","HMDB0032394","7092","563586",NA,NA,"CC1=CC2=C(OC(=O)C=C2)C=C1","1"
"Umbelliferone","Umbelliferone","HMDB0029865","5281426","27510","C09315",NA,"OC1=CC2=C(C=C1)C=CC(=O)O2","1"
"Leucine_Enkephalin","NA","NA","NA","NA","NA","NA","NA","0"
"Fukugetin","NA","NA","NA","NA","NA","NA","NA","0"
"Naringin","Naringin","HMDB0002927","442428","28819","C09789","3604","C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=CC(O)=C3C(=O)C[C@H](OC3=C2)C2=CC=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O","1"
"Streptomycin","Streptomycin","HMDB0015214","19649","17076","C00413",NA,"CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O","1"
"delta-Decalactone","delta-Decalactone","HMDB0037116","12810","87327",NA,NA,"CCCCCC1CCCC(=O)O1","1"
"Glycyl-L-proline","Glycylproline","HMDB0000721","3013625","70744",NA,"5689","NCC(=O)N1CCC[C@H]1C(O)=O","1"
"Mephedrone","Mephedrone","HMDB0041923","45266826","59331",NA,NA,"CNC(C)C(=O)C1=CC=C(C)C=C1","1"
"Aesculetin","Aesculetin","HMDB0030819","5281416","490095","C09263",NA,"OC1=C(O)C=C2C=CC(=O)OC2=C1","1"
"D-(+)-Galactosamine","D-(+)-Galactosamine","HMDB0341150",NA,NA,NA,NA,"Cl.NC(C=O)C(O)C(O)C(O)CO","1"
"Hydratoperidinin","NA","NA","NA","NA","NA","NA","NA","0"
"Cyanidin-3-O-(2''-O-beta-xylopyranosyl-beta-glucopyranoside)-5-O-beta-glucopyranoside","NA","NA","NA","NA","NA","NA","NA","0"
"Benzoylcholine","NA","NA","NA","NA","NA","NA","NA","0"
"Robinin","Robinin",NA,"44258757",NA,NA,NA,"CC1O(Oc2cc(O)c3c(=O)c(O4OC(CO5OC(C)(O)(O)C5O)(O)C(O)C4O)c(-c4ccc(O)cc4)oc3c2)C(O)(O)1O","1"
"Atraton","Atraton","HMDB0248713",NA,"82220","C19098",NA,"CCN=C1NC(NC(OC)=N1)=NC(C)C","1"
"Harmine","Harmine","HMDB0030311","5280953","28121","C06538",NA,"COC1=CC=C2C(NC3=C2C=CN=C3C)=C1","1"
"Harmaline","Harmaline","HMDB0030310","3564","28172","C06536",NA,"COC1=CC2=C(C=C1)C1=C(N2)C(C)=NCC1","1"
"4-Formyl-antipyrine","NA","NA","NA","NA","NA","NA","NA","0"
"4-Hydroxybenzoylcholine","(4-Hydroxybenzoyl)choline","HMDB0029559","151252",NA,NA,NA,"C[N+](C)(C)CCOC(O)=C1C=CC(=O)C=C1","1"
"Aminopyrine","Aminophenazone","HMDB0015493","6009","160246","C07539",NA,"CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1","1"
"3,4,5-Trimethoxycinnamic acid","3,4,5-Trimethoxycinnamic acid","HMDB0002511","735755",NA,NA,"6705","COC1=CC(\C=C\C(O)=O)=CC(OC)=C1OC","1"
"Bentazone","Bentazone","HMDB0248965","2328","3018","C10965",NA,"CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O","1"
"Uridine","Uridine","HMDB0000296","6029","16704","C00299","90","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"Biotin","Biotin","HMDB0000030","171548","15956","C00120","243","[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2","1"
"Santonin","NA","NA","NA","NA","NA","NA","NA","0"
"Chrysin","5,7-Dihydroxyflavone","HMDB0036619","5281607","75095","C10028",NA,"OC1=CC(O)=C2C(=O)C=C(OC2=C1)C1=CC=CC=C1","1"
"MCPB","NA","NA","NA","NA","NA","NA","NA","0"
"Dinoseb","(Â±)-2-(1-Methylpropyl)-4,6-dinitrophenol","HMDB0032559","6950","83632","C14302",NA,"CCC(C)C1=C(O)C(=CC(=C1)N(=O)=O)N(=O)=O","1"
"Cytidine","Cytidine","HMDB0000089","6175","17562","C00475","3376","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"2,7-Naphthalenedisulfonic acid","NA","NA","NA","NA","NA","NA","NA","0"
"17-HDoHE","17-HDoHE","HMDB0010213","6439179","72637",NA,NA,"CC\C=C/CC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O","1"
"Forskolin","Forskolin","HMDB0252457","3413","93891","C09076",NA,"CC(=O)OC1C(O)C2C(C)(C)CCC(O)C2(C)C2(O)C(=O)CC(C)(OC12C)C=C","1"
"Fipronil","Fipronil","HMDB0252265","3352","83394","C11099",NA,"NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F","1"
"O-Phospho-L-serine","Phosphoserine","HMDB0000272","68841","15811","C01005","5270","N[C@@H](COP(O)(O)=O)C(O)=O","1"
"MCPA","(4-Chloro-2-methylphenoxy)acetic acid","HMDB0254366","7204","50099","C18528",NA,"CC1=CC(Cl)=CC=C1OCC(O)=O","1"