Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
Piperidine,Piperidine,HMDB0034301,8082,18049,C01746,NA,C1CCNCC1,1
1-Aminocyclopropane-1-carboxylic acid,1-Aminocyclopropanecarboxylic acid,HMDB0036458,535,18053,C01234,NA,NC1(CC1)C(O)=O,1
L-Serine,Serine,HMDB0000187,5951,17115,C00065,5203,N[C@@H](CO)C(O)=O,1
D-2-Aminobutyric acid,D-alpha-Aminobutyric acid,HMDB0000650,439691,28797,C02261,NA,CC[C@@H](N)C(O)=O,1
Choline,Choline,HMDB0000097,305,15354,C00114,56,C[N+](C)(C)CCO,1
3-Cyanopyridine,NA,NA,NA,NA,NA,NA,NA,0
Serine,Serine,HMDB0000187,5951,17115,C00065,5203,N[C@@H](CO)C(O)=O,1
Diethanolamine,Diethanolamine,HMDB0004437,8113,28123,C06772,3239,OCCNCCO,1
Hypotaurine,Hypotaurine,HMDB0000965,107812,16668,C00519,281,NCCS(O)=O,1
Cytosine,Cytosine,HMDB0000630,597,16040,C00380,283,NC1=CC=NC(=O)N1,1
Uracil,Uracil,HMDB0000300,1174,17568,C00106,258,O=C1NC=CC(=O)N1,1
Creatinine,Creatinine,HMDB0000562,588,16737,C00791,8,CN1CC(=O)NC1=N,1
"5,6-Dihydrouracil",Dihydrouracil,HMDB0000076,649,15901,C00429,285,O=C1CCNC(=O)N1,1
Proline,Proline,HMDB0000162,145742,17203,C00148,29,OC(=O)[C@@H]1CCCN1,1
Glycocyamine,Guanidoacetic acid,HMDB0000128,763,16344,C00581,5163,NC(=N)NCC(O)=O,1
Valine,L-Valine,HMDB0000883,6287,16414,C00183,5842,CC(C)[C@H](N)C(O)=O,1
Benzimidazole,Benzimidazole,HMDB0248993,5798,41275,C02009,NA,N1C=NC2=CC=CC=C12,1
1H-Benzotriazole,1H-Benzotriazole,HMDB0244873,7220,75331,NA,NA,N1N=NC2=CC=CC=C12,1
D-(-)-Erythrose,NA,NA,NA,NA,NA,NA,NA,0
Cysteine,L-Cysteine,HMDB0000574,5862,17561,C00097,5556,N[C@@H](CS)C(O)=O,1
"N,N-Dimethylaniline","N,N-Dimethylaniline",HMDB0001020,949,16269,C02846,5949,CN(C)C1=CC=CC=C1,1
Niacinamide,Niacinamide,HMDB0001406,936,17154,C00153,1497,NC(=O)C1=CC=CN=C1,1
Niacin,Niacinamide,HMDB0001406,936,17154,C00153,1497,NC(=O)C1=CC=CN=C1,1
"N,N-Dimethylsulfamide",NA,NA,NA,NA,NA,NA,NA,0
Thymine,Thymine,HMDB0000262,1135,17821,C00178,290,CC1=CNC(=O)NC1=O,1
2-Thiophenecarboxylic acid,THIOPHENE-2-CARBOXYLIC ACID,HMDB0259027,NA,71241,NA,NA,OC(=O)C1=CC=CS1,1
4-Chlorophenol,4-Chlorophenol,HMDB0246398,NA,28078,C02124,NA,OC1=CC=C(Cl)C=C1,1
4-Amino-2-chloropyridine,NA,NA,NA,NA,NA,NA,NA,0
L-5-Oxoproline,Pyroglutamic acid,HMDB0000267,7405,18183,C01879,3251,OC(=O)[C@@H]1CCC(=O)N1,1
Metformin,"1,1-Dimethylbiguanide",HMDB0001921,4091,6801,C07151,6390,CN(C)C(=N)NC(N)=N,1
5-Fluorouracil,Fluorouracil,HMDB0014684,3385,46345,C07649,NA,FC1=CNC(=O)NC1=O,1
4-Hydroxy-L-proline,4-Hydroxyproline,HMDB0000725,5810,18095,C01157,257,O[C@H]1CN[C@@H](C1)C(O)=O,1
Creatine,Creatine,HMDB0000064,586,16919,C00300,7,CN(CC(O)=O)C(N)=N,1
2-Methylindole,2-Methylindole,HMDB0245234,NA,49402,NA,NA,CC1=CC2=CC=CC=C2N1,1
Leucine,Leucine,HMDB0000687,6106,15603,C00123,24,CC(C)C[C@H](N)C(O)=O,1
Asparagine,L-Asparagine,HMDB0000168,6267,17196,C00152,14,N[C@@H](CC(N)=O)C(O)=O,1
L-Ornithine,Ornithine,HMDB0000214,6262,15729,C00077,27,NCCC[C@H](N)C(O)=O,1
Aspartic acid,L-Aspartic acid,HMDB0000191,5960,17053,C00049,5206,N[C@@H](CC(O)=O)C(O)=O,1
Diglyme,Diglyme,HMDB0251284,8150,46784,NA,NA,COCCOCCOC,1
Benzothiazole,Benzothiazole,HMDB0032930,7222,45993,NA,NA,S1C=NC2=CC=CC=C12,1
Adenine,Adenine,HMDB0000034,190,16708,C00147,85,NC1=C2NC=NC2=NC=N1,1
4-Isopropylaniline,NA,NA,NA,NA,NA,NA,NA,0
Allopurinol,Allopurinol,HMDB0014581,2094,40279,NA,NA,O=C1N=CN=C2NNC=C12,1
1-Methyl-2-pyridinium aldoxime,NA,NA,NA,NA,NA,NA,NA,0
Anthranilic acid,2-Aminobenzoic acid,HMDB0001123,227,30754,C00108,6018,NC1=CC=CC=C1C(O)=O,1
Tyramine,Tyramine,HMDB0000306,5610,15760,C00483,60,NCCC1=CC=C(O)C=C1,1
Urocanic acid,Urocanic acid,HMDB0000301,736715,30817,C00785,298,OC(=O)\C=C\C1=CNC=N1,1
4-Methyl-5-thiazoleethanol,5-(2-Hydroxyethyl)-4-methylthiazole,HMDB0032985,1136,17957,C04294,NA,CC1=C(CCO)SC=N1,1
3-Formylindole,Indole-3-carboxaldehyde,HMDB0029737,10256,28238,C08493,NA,O=CC1=CNC2=C1C=CC=C2,1
(S)-3-Amino-5-methylhexanoic acid,NA,NA,NA,NA,NA,NA,NA,0
Spermidine,Spermidine,HMDB0001257,1102,16610,C00315,254,NCCCCNCCCN,1
Coumarin,Coumarin,HMDB0001218,323,28794,C05851,3525,O=C1OC2=CC=CC=C2C=C1,1
Glutamine,Glutamine,HMDB0000641,5961,18050,C00064,5614,N[C@@H](CCC(N)=O)C(O)=O,1
Lysine,Lysine,HMDB0000182,5962,18019,C00047,5200,NCCCC[C@H](N)C(O)=O,1
Taurine,Taurine,HMDB0000251,1123,15891,C00245,31,NCCS(O)(=O)=O,1
Glutamic acid,Glutamic acid,HMDB0000148,33032,16015,C00025,5174,N[C@@H](CCC(O)=O)C(O)=O,1
Phthalic anhydride,Phthalic anhydride,HMDB0256501,NA,36605,NA,NA,O=C1OC(=O)C2=CC=CC=C12,1
(S)-(+)-Citramailc acid,NA,NA,NA,NA,NA,NA,NA,0
2-Methylbenzothiazole,2-Methylbenzothiazole,HMDB0033001,8446,NA,NA,NA,CC1=NC2=CC=CC=C2S1,1
Methionine,Methionine,HMDB0000696,6137,16643,C00073,5664,CSCC[C@H](N)C(O)=O,1
Methamphetamine,Methamphetamine,HMDB0015517,10836,6809,C07164,NA,CN[C@@H](C)CC1=CC=CC=C1,1
2-Mercapto benzimidazole,NA,NA,NA,NA,NA,NA,NA,0
Benzisothiazolone (BIT),NA,NA,NA,NA,NA,NA,NA,0
Guanine,Guanine,HMDB0000132,764,16235,C00242,315,NC1=NC(=O)C2=C(N1)N=CN2,1
Paracetamol,Acetaminophen,HMDB0001859,1983,46195,C06804,6353,CC(=O)NC1=CC=C(O)C=C1,1
Oxypurinol,Oxypurinol,HMDB0000786,4644,28315,C07599,5752,O=C1NC(=O)C2=CNNC2=N1,1
o-Anisic acid,2-Methoxybenzoic acid,HMDB0032604,11370,421840,NA,NA,COC1=CC=CC=C1C(O)=O,1
m-Anisic-acid,NA,NA,NA,NA,NA,NA,NA,0
Ribitol,Ribitol,HMDB0000508,NA,15963,C00474,316,OC[C@H](O)[C@H](O)[C@H](O)CO,1
L-Cysteine Sulfinic acid,NA,NA,NA,NA,NA,NA,NA,0
Dopamine,Dopamine,HMDB0000073,681,18243,C03758,64,NCCC1=CC(O)=C(O)C=C1,1
Gentisic acid,Gentisic acid,HMDB0000152,3469,17189,C00628,618,OC(=O)C1=C(O)C=CC(O)=C1,1
Histidine,Histidine,HMDB0000177,6274,15971,C00135,21,N[C@@H](CC1=CN=CN1)C(O)=O,1
Orotic acid,Orotic acid,HMDB0000226,967,16742,C00295,318,OC(=O)C1=CC(=O)NC(=O)N1,1
Indole-3-acetonitrile,3-Indoleacetonitrile,HMDB0006524,351795,17566,C02938,NA,N#CCC1=CNC2=C1C=CC=C2,1
Chloridazone-methyl-desphenyl,NA,NA,NA,NA,NA,NA,NA,0
N-Acetylindole,NA,NA,NA,NA,NA,NA,NA,0
6-Methylcoumarin,6-Methylcoumarin,HMDB0032394,7092,563586,NA,NA,CC1=CC2=C(OC(=O)C=C2)C=C1,1
D-Ala-D-ala,D-Alanyl-D-alanine,HMDB0003459,5460362,16576,C00993,6937,C[C@@H](N)C(=O)N[C@H](C)C(O)=O,1
"(3S)-3,7-diaminoheptanoic acid",NA,NA,NA,NA,NA,NA,NA,0
1H-indole-3-carboxylic acid,Indole-3-carboxylic acid,HMDB0003320,69867,24809,C19837,3795,OC(=O)C1=CNC2=CC=CC=C12,1
L-2-Aminoadipic acid,Aminoadipic acid,HMDB0000510,92136,37023,C00956,5496,N[C@@H](CCCC(O)=O)C(O)=O,1
D-Carnitine,D-Carnitine,NA,2724480,NA,C15025,NA,NA,1
Umbelliferone,Umbelliferone,HMDB0029865,5281426,27510,C09315,NA,OC1=CC2=C(C=C1)C=CC(=O)O2,1
"1,6-Anhydro-beta-D-glucose",Levoglucosan,HMDB0000640,2724705,30997,NA,5613,[H][C@@]12OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H]2O,1
Methomyl,Methomyl,HMDB0031804,5353758,6835,C11196,NA,CS\C(C)=N\OC(O)=NC,1
DL-5-Hydroxylysine,NA,NA,NA,NA,NA,NA,NA,0
"N'-(2,4-Dimethylphenyl)-N-methylformamidine",NA,NA,NA,NA,NA,NA,NA,0
2-Coumaric acid,2-Hydroxycinnamic acid,HMDB0002641,637540,18125,C01772,6727,OC(=O)\C=C\C1=C(O)C=CC=C1,1
D-(+)-Fucose,NA,NA,NA,NA,NA,NA,NA,0
Eugenol,Eugenol,HMDB0005809,3314,4917,C10453,4022,COC1=CC(CC=C)=CC=C1O,1
Phenylalanine,Phenylalanine,HMDB0000159,6140,17295,C00079,28,N[C@@H](CC1=CC=CC=C1)C(O)=O,1
3-Methylxanthine,3-Methylxanthine,HMDB0001886,70639,62207,C16357,2820,CN1C2=C(NC=N2)C(=O)NC1=O,1
Dihydrojasmone,Dihydrojasmone,HMDB0031565,62378,NA,NA,NA,CCCCCC1=C(C)CCC1=O,1
Pyridoxal,Pyridoxal,HMDB0001545,1050,17310,C00250,6312,CC1=NC=C(CO)C(C=O)=C1O,1
(R)-(-)-Phenylephrine,NA,NA,NA,NA,NA,NA,NA,0
Phosphoenolpyruvic acid,Phosphoenolpyruvic acid,HMDB0000263,1005,44897,C00074,5264,OC(=O)C(=C)OP(O)(O)=O,1
Norharmane,beta-Carboline,HMDB0012897,64961,109895,C20157,NA,N1C2=CC=CC=C2C2=CC=NC=C12,1
Pyridoxamine,Pyridoxamine,HMDB0001431,1052,16410,C00534,238,CC1=C(O)C(CN)=C(CO)C=N1,1
Pyridoxine,Pyridoxine,HMDB0000239,1054,16709,C00314,5245,CC1=C(O)C(CO)=C(CO)C=N1,1
alpha-Methyl-DL-histidine,NA,NA,NA,NA,NA,NA,NA,0
Atrazine-desethyl-2-hydroxy,NA,NA,NA,NA,NA,NA,NA,0
sn-Glycerol 3-phosphate,Glycerol 3-phosphate,HMDB0000126,439162,15978,C00093,5161,OC[C@@H](O)COP(O)(O)=O,1
Levetiracetam,Levetiracetam,HMDB0015333,441341,352567,C07841,NA,CC[C@@H](N1CCCC1=O)C(N)=O,1
delta-Decalactone,delta-Decalactone,HMDB0037116,12810,87327,NA,NA,CCCCCC1CCCC(=O)O1,1
Metronidazole,Metronidazole,HMDB0015052,4173,6909,C07203,NA,CC1=NC=C(N1CCO)[N+]([O-])=O,1
Glycyl-L-proline,Glycylproline,HMDB0000721,3013625,70744,NA,5689,NCC(=O)N1CCC[C@H]1C(O)=O,1
Sulfanilic acid,Sulfanilic acid,HMDB0258581,NA,27500,C06335,NA,NC1=CC=C(C=C1)S(O)(=O)=O,1
Atrazine-desisopropyl,NA,NA,NA,NA,NA,NA,NA,0
Arginine,L-Arginine,HMDB0000517,6322,16467,C00062,5502,N[C@@H](CCCNC(N)=N)C(O)=O,1
N-alpha-Acetyl-L-ornithine,NA,NA,NA,NA,NA,NA,NA,0
N-Acetyl-DL-aspartic acid,NA,NA,NA,NA,NA,NA,NA,0
5-methoxyindole-3-carbaldehyde,NA,NA,NA,NA,NA,NA,NA,0
Citrulline,Citrulline,HMDB0000904,9750,16349,C00327,16,N[C@@H](CCCNC(N)=O)C(O)=O,1
4-Methylumbelliferone,4-Methylumbelliferone,HMDB0059622,5280567,17224,C03081,NA,CC1=CC(=O)OC2=C1C=CC(O)=C2,1
Serotonin,Serotonin,HMDB0000259,5202,28790,C00780,74,NCCC1=CNC2=C1C=C(O)C=C2,1
1-Benzylpiperazine,1-Benzylpiperazine,HMDB0243838,75994,83537,NA,NA,C(N1CCNCC1)C1=CC=CC=C1,1
Mephedrone,Mephedrone,HMDB0041923,45266826,59331,NA,NA,CNC(C)C(=O)C1=CC=C(C)C=C1,1
Aesculetin,Aesculetin,HMDB0030819,5281416,490095,C09263,NA,OC1=C(O)C=C2C=CC(=O)OC2=C1,1
Cysteinylglycine,Cysteinylglycine,HMDB0000078,439498,4047,C01419,5134,N[C@@H](CS)C(=O)NCC(O)=O,1
2-Methoxycinnamic acid,trans-2-Methoxycinnamic acid,HMDB0302514,734154,136676,NA,NA,[H]\C(=C(\[H])C1=CC=CC=C1OC)C(O)=O,1
Coniferyl aldehyde,Coniferyl aldehyde,METPA0314,NA,NA,C02666,NA,NA,1
Isoproturon-didemethyl,NA,NA,NA,NA,NA,NA,NA,0
S-Carboxymethyl-L-cysteine,S-Carboxymethyl-L-cysteine,HMDB0029415,1080,971853,NA,NA,NC(CSCC(O)=O)C(O)=O,1
Phenanthridine,Phenanthridine,HMDB0256392,NA,36421,NA,NA,C1=CC=C2C(=C1)C=NC1=CC=CC=C21,1
Cyclamate,Cyclamic acid,HMDB0031340,7533,15964,C02824,NA,OS(=O)(=O)NC1CCCCC1,1
D-(+)-Galactosamine,D-(+)-Galactosamine,HMDB0341150,NA,NA,NA,NA,Cl.NC(C=O)C(O)C(O)C(O)CO,1
Salsolinol,Salsolinol,HMDB0042012,91588,113,C09642,NA,[H][C@@]1(C)NCCC2=CC(O)=C(O)C=C12,1
Caffeic acid,Caffeic acid,HMDB0001964,689043,16433,C01481,3316,OC(=O)\C=C\C1=CC(O)=C(O)C=C1,1
ParaXanthine,Paraxanthine,HMDB0001860,4687,25858,C13747,1457,CN1C=NC2=C1C(=O)N(C)C(=O)N2,1
o-Phenanthroline,"1,10-Phenanthroline",HMDB0244053,1318,44975,C00604,NA,C1=CC2=CC=C3C=CC=NC3=C2N=C1,1
Tyrosine,L-Tyrosine,HMDB0000158,6057,17895,C00082,34,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,1
Syringaldehyde,Syringaldehyde,HMDB0258653,8655,67380,NA,NA,COC1=CC(C=O)=CC(OC)=C1O,1
Sorbitol,Sorbitol,HMDB0000247,5780,17924,C00794,143,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1
D-Sorbitol,Sorbitol,HMDB0000247,5780,17924,C00794,143,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1
Harman,Harman,HMDB0035196,5281404,5623,C09209,NA,CC1=C2NC3=CC=CC=C3C2=CC=N1,1
Phosphocholine,Phosphorylcholine,HMDB0001565,1014,18132,C00588,6326,C[N+](C)(C)CCOP(O)(O)=O,1
Simazine-2-hydroxy,NA,NA,NA,NA,NA,NA,NA,0
"DL-3,4-Dihydroxymandelic acid",NA,NA,NA,NA,NA,NA,NA,0
Metribuzin-diketo,NA,NA,NA,NA,NA,NA,NA,0
3-Phospho-D-glycerate,3-Phosphoglyceric acid,HMDB0000807,724,17050,C00597,150,OC(COP(O)(O)=O)C(O)=O,1
Rhamnose,Rhamnose,HMDB0000849,25310,62346,C00507,5812,C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O,1
Atrazine-desethyl,"6-Chloro-N-(1-methylethyl)-1,3,5-triazine-2,4-diamine",HMDB0033249,22563,28212,C06559,NA,CC(C)NC1=NC(N)=NC(Cl)=N1,1
Antipyrine,Antipyrine,HMDB0015503,2206,31225,C13244,NA,CN1N(C(=O)C=C1C)C1=CC=CC=C1,1
Propamocarb,Propamocarb,HMDB0341191,NA,NA,NA,NA,CCCOC(=O)NCCCN(C)C,1
"2,6-Dichlorobenzamide","2,6-Dichlorobenzamide",NA,16183,NA,NA,NA,NA,1
alpha-cyano-4-hydroxycinnamic acid,alpha-Cyano-4-hydroxycinnamate,HMDB0248196,2102,NA,NA,NA,OC(=O)C(=CC1=CC=C(O)C=C1)C#N,1
N-Acetyl-DL-glutamic acid,NA,NA,NA,NA,NA,NA,NA,0
"3,4-Dimethoxycinnamic acid","3-(3,4-Dimethoxyphenyl)-2-propenoic acid",HMDB0034315,717531,86549,NA,NA,COC1=C(OC)C=C(\C=C\C(O)=O)C=C1,1
"DL-alpha,epsilon-Diaminopimelic acid",NA,NA,NA,NA,NA,NA,NA,0
5-Hydroxyindole-3-acetic acid,5-Hydroxyindoleacetic acid,HMDB0000763,1826,27823,C05635,2975,OC(=O)CC1=CNC2=C1C=C(O)C=C2,1
Carbendazim,Carbendazim,HMDB0031769,25429,3392,C10897,NA,COC(=O)NC1=NC2=CC=CC=C2N1,1
DEET,Diethyltoluamide,HMDB0250930,4284,7071,C10935,NA,CCN(CC)C(=O)C1=CC=CC(C)=C1,1
DL-Isocitric acid,NA,NA,NA,NA,NA,NA,NA,0
Scopoletin,Scopoletin,HMDB0034344,5280460,17488,C01752,NA,COC1=C(O)C=C2OC(=O)C=CC2=C1,1
Isoproturon-monodemethyl,NA,NA,NA,NA,NA,NA,NA,0
Iminostilbene,Iminostilbene,HMDB0253433,9212,47802,NA,NA,N1C2=CC=CC=C2C=CC2=CC=CC=C12,1
"N,N-Diethyl-4-hydroxybenzamide",NA,NA,NA,NA,NA,NA,NA,0
trans-4-Hydroxy-3-methoxycinnamate,Ferulic acid,HMDB0000954,445858,17620,C01494,4156,COC1=C(O)C=CC(\C=C\C(O)=O)=C1,1
Caffeine,Caffeine,HMDB0001847,2519,27732,C07481,1455,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,1
L-beta-Homotyrosine,NA,NA,NA,NA,NA,NA,NA,0
1-(3-Chlorophenyl)piperazine,m-chlorophenylpiperazine (m-CPP),HMDB0061008,1355,10588,C11738,NA,ClC1=CC(=CC=C1)N1CCNCC1,1
L-(+)-Arginine,L-Arginine,HMDB0000517,6322,16467,C00062,5502,N[C@@H](CCCNC(N)=N)C(O)=O,1
Galactose,D-Galactose,HMDB0000143,439357,28061,C00124,134,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,1
Atrazine-2-hydroxy,NA,NA,NA,NA,NA,NA,NA,0
Cymoxanil,NA,NA,NA,NA,NA,NA,NA,0
delta-Dodecalactone,xi-5-Dodecanolide,HMDB0037742,12844,NA,NA,NA,CCCCCCCC1CCCC(=O)O1,1
Pyrimethanil,Pyrimethanil,HMDB0033135,91650,8674,C11180,NA,CC1=CC(C)=NC(NC2=CC=CC=C2)=N1,1
Camalexin,Camalexin,HMDB0038631,636970,22990,NA,NA,N1C=C(C2=NC=CS2)C2=CC=CC=C12,1
"N,N-Dimethyl-N'-phenylsulfamide",NA,NA,NA,NA,NA,NA,NA,0
3-Phenoxybenzylalcohol,(3-Phenoxyphenyl)methanol,HMDB0245967,26295,62527,C19800,NA,OCC1=CC(OC2=CC=CC=C2)=CC=C1,1
Cysteine S-sulfate,NA,NA,NA,NA,NA,NA,NA,0
Metamitron,Metamitron,HMDB0254501,38854,6791,C10930,NA,CC1=NN=C(C(=O)N1N)C1=CC=CC=C1,1
Isopentenyl-Adenine,NA,NA,NA,NA,NA,NA,NA,0
Crotamiton,Crotamiton,HMDB0014410,688020,31439,NA,NA,CCN(C(=O)C=CC)C1=CC=CC=C1C,1
Diuron-desdimethyl,NA,NA,NA,NA,NA,NA,NA,0
Levamisole,Levamisole,HMDB0014986,26879,6432,C07070,NA,C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1,1
Tryptophan,L-Tryptophan,HMDB0000929,6305,16828,C00078,5879,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,1
1-Isothiocyanato-6-(methylsulfinyl)-hexane,NA,NA,NA,NA,NA,NA,NA,0
Methoxyindoleacetic acid,5-Methoxyindoleacetate,HMDB0004096,18986,28281,C05660,7016,COC1=CC2=C(NC=C2CC(O)=O)C=C1,1
