Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
Halocynthiaxanthin acetate,NA,NA,NA,NA,NA,NA,NA,0
Corbiculaxanthin-3'-acetate,NA,NA,NA,NA,NA,NA,NA,0
Ioxitalamic acid,Ioxitalamic acid,HMDB0253556,NA,83517,NA,NA,CC(O)=NC1=C(I)C(C(O)=NCCO)=C(I)C(C(O)=O)=C1I,1
Hydratoperidinin,NA,NA,NA,NA,NA,NA,NA,0
Malvin,Malvin,HMDB0038009,3830888,NA,NA,NA,COC1=CC(=CC(OC)=C1O)C1=C(OC2OC(CO)C(O)C(O)C2O)C=C2C(OC3OC(CO)C(O)C(O)C3O)=CC(O)=CC2=[O+]1,1
Fucoxanthin,Fucoxanthin,HMDB0002741,5364094,5186,C08596,3685,CC(=O)OC1CC(C)(C)C(=C=C\C(C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)C(=O)CC23OC2(C)CC(O)CC3(C)C)C(C)(O)C1,1
IRGANOX 1098,NA,NA,NA,NA,NA,NA,NA,0
NAD+,NAD+,HMDB0000902,5892,44215,C00003,5858,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,1
Nicotinamide_dinucleotide,NA,NA,NA,NA,NA,NA,NA,0
IRGANOX 1035,NA,NA,NA,NA,NA,NA,NA,0
NADH,NADH,HMDB0001487,439153,16908,C00004,3687,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,1
Icariin,Icariin,NA,44259060,NA,NA,NA,COc1ccc(-c2oc3c(CC=C(C)C)c(O4OC(CO)(O)(O)C4O)cc(O)c3c(=O)c2O2OC(C)(O)C(O)2O)cc1,1
Dehydro fucoxanthin acetate,NA,NA,NA,NA,NA,NA,NA,0
3'-Dephosphocoenzyme A,Dephospho-CoA,HMDB0001373,444485,15468,C00882,3689,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCS,1
Fcoxanthin acetate,NA,NA,NA,NA,NA,NA,NA,0
Flavuxanthin,NA,NA,NA,NA,NA,NA,NA,0
Man3GlcNAc,NA,NA,NA,NA,NA,NA,NA,0
GalNAcFucGlcNAcThrNAc-I,NA,NA,NA,NA,NA,NA,NA,0
C60,NA,NA,NA,NA,NA,NA,NA,0
Ritonavir,Ritonavir,HMDB0014646,392622,45409,C07240,NA,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1,1
Kaempferol-3-Rhamnoside-4''-Rhamnoside-7-Rhamnoside,NA,NA,NA,NA,NA,NA,NA,0
Myxoxanthophyll,NA,NA,NA,NA,NA,NA,NA,0
ManGlcNAcFucGlcNAc,NA,NA,NA,NA,NA,NA,NA,0
Erythromycin,Erythromycin,HMDB0014344,12560,42355,C01912,NA,[H][C@@]1(C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)O[C@H]1[C@H](C)[C@@H](O[C@]2([H])O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C,1
Robinin,Robinin,NA,44258757,NA,NA,NA,CC1O(Oc2cc(O)c3c(=O)c(O4OC(CO5OC(C)(O)(O)C5O)(O)C(O)C4O)c(-c4ccc(O)cc4)oc3c2)C(O)(O)1O,1
"Deoxymyxol 2'-(2,4-di-O-methyl-fucoside)",NA,NA,NA,NA,NA,NA,NA,0
Cyanidin-3-O-(2''-O-beta-xylopyranosyl-beta-glucopyranoside)-5-O-beta-glucopyranoside,NA,NA,NA,NA,NA,NA,NA,0
NADP+,NADP+,HMDB0000217,5885,44409,C00006,5227,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,1
Azithromycin,Azithromycin,HMDB0014352,447043,2955,C06838,NA,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,1
Quercetin-3-O-alpha-L-rhamnopyranosyl(1-2)-beta-D-glucopyranoside-7-O-alpha-L-rhamnopyranoside,NA,NA,NA,NA,NA,NA,NA,0
Bradykinin fragment 1-7,NA,NA,NA,NA,NA,NA,NA,0
"Myxol 2'-(2,4-di-O-methyl-fucoside)",NA,NA,NA,NA,NA,NA,NA,0
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,HMDB0243985,65167,NA,NA,NA,CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC,1
Iomeprol,Iomeprol,HMDB0253541,3731,31710,NA,NA,CN(C(=O)CO)C1=C(I)C(C(O)=NCC(O)CO)=C(I)C(C(O)=NCC(O)CO)=C1I,1
Bisperfluorooctyl phosphate,NA,NA,NA,NA,NA,NA,NA,0
Iopromide,Iopromide,HMDB0041910,3736,63578,NA,NA,COCC(O)=NC1=C(I)C(C(O)=NCC(O)CO)=C(I)C(C(=O)N(C)CC(O)CO)=C1I,1
IRGANOX 1330,NA,NA,NA,NA,NA,NA,NA,0
IRGANOX 3114,NA,NA,NA,NA,NA,NA,NA,0
Iohexol,Iohexol,HMDB0015449,3730,31709,NA,NA,CC(=O)N(CC(O)CO)C1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(=O)NCC(O)CO)=C1I,1
Glycyrrhizin,Glycyrrhizin,HMDB0029843,3495,15939,C02284,NA,CC1(C)C(CCC2(C)C1CCC1(C)C2C(=O)C=C2C3CC(C)(CCC3(C)CCC12C)C(O)=O)OC1OC(C(O)C(O)C1OC1OC(C(O)C(O)C1O)C(O)=O)C(O)=O,1
Rifampicin,Rifampicin,NA,135398735,NA,NA,NA,NA,1
Roxithromycin,Roxithromycin,HMDB0014916,6915744,48844,C13173,NA,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=NOCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,1
DP5,NA,NA,NA,NA,NA,NA,NA,0
Coenzyme Q10,Coenzyme Q10,HMDB0001072,5281915,46245,C11378,5983,COC1=C(OC)C(=O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(C)C1=O,1
1-Palmitoyl-2-oleoyl-3-linoleoyl-rac-glycerol,NA,NA,NA,NA,NA,NA,NA,0
Cyanidin-3-O-[6''-O-(E-p-coum)-2''-O-(beta-xylopyranosyl)-beta-glucopyranoside]-5-O-beta-glucopyranoside,NA,NA,NA,NA,NA,NA,NA,0
Oscillaxanthin,NA,NA,NA,NA,NA,NA,NA,0
Man2GlcNAcFucGlcNAc,NA,NA,NA,NA,NA,NA,NA,0
Triolein,TG(18:1(9Z)/18:1(9Z)/18:1(9Z)),HMDB0005453,5497163,53753,NA,4947,[H]C(COC(=O)CCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC,1
Man3GlcNAc2,NA,NA,NA,NA,NA,NA,NA,0
Tristealin,NA,NA,NA,NA,NA,NA,NA,0
GalNAc2FucGlcNAcThrNAc,NA,NA,NA,NA,NA,NA,NA,0
Myricitrin,Myricitrin,HMDB0034360,5352000,544021,C10108,NA,CC1OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C(O)=C2)C(O)C(O)C1O,1
Microcystin-LR,Microcystin-LR,HMDB0254706,3595220,NA,NA,NA,COC(CC1=CC=CC=C1)C(C)C=C(C)C=CC1NC(=O)C(CCCN=C(N)N)NC(=O)C(C)C(NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(=C)N(C)C(=O)CCC(NC(=O)C1C)C(O)=O)C(O)=O,1
Cyanidin 3-O-[2''-O-(xylosyl)-6''-O-(p-O-(glucosyl)-p-coumaroyl) glucoside] 5-O-glucoside,NA,NA,NA,NA,NA,NA,NA,0
Man3GlcNAcFucGlcNAc,NA,NA,NA,NA,NA,NA,NA,0
Ginsenoside-Rb1,NA,NA,NA,NA,NA,NA,NA,0
Man6GlcNAc-VI,NA,NA,NA,NA,NA,NA,NA,0
Irganox1010,NA,NA,NA,NA,NA,NA,NA,0
DL-3-Aminoisobutyric acid,3-Aminoisobutanoic acid,HMDB0003911,64956,27389,C05145,5472,CC(CN)C(O)=O,1
D-(+)-Glyceric acid,NA,NA,NA,NA,NA,NA,NA,0
Succinic acid,Succinic acid,HMDB0000254,1110,15741,C00042,114,OC(=O)CCC(O)=O,1
Mesaconic acid,Mesaconic acid,HMDB0000749,638129,16600,C01732,4130,C\C(=C/C(O)=O)C(O)=O,1
L-Leucine,Leucine,HMDB0000687,6106,15603,C00123,24,CC(C)C[C@H](N)C(O)=O,1
L-Asparagine,L-Asparagine,HMDB0000168,6267,17196,C00152,14,N[C@@H](CC(N)=O)C(O)=O,1
2-Hydroxyisocaproic acid,Leucinic acid,HMDB0000665,92779,59783,NA,5635,CC(C)CC(O)C(O)=O,1
Aspartate,L-Aspartic acid,HMDB0000191,5960,17053,C00049,5206,N[C@@H](CC(O)=O)C(O)=O,1
L-(-)-Malic acid,Malic acid,HMDB0000156,222656,30797,C00149,NA,O[C@@H](CC(O)=O)C(O)=O,1
O-Phosphoethanolamine,O-Phosphoethanolamine,HMDB0000224,1015,17553,C00346,5233,NCCOP(O)(O)=O,1
Indole-3-carboxyaldehyde,Indole-3-carboxaldehyde,HMDB0029737,10256,28238,C08493,NA,O=CC1=CNC2=C1C=CC=C2,1
2-Oxoglutaric acid,Oxoglutaric acid,HMDB0000208,51,30915,C00026,5218,OC(=O)CCC(=O)C(O)=O,1
2-Methylglutaric acid,2-Methylglutaric acid,HMDB0000422,12046,68567,C02930,5411,CC(CCC(O)=O)C(O)=O,1
L-Glutamic acid,Glutamic acid,HMDB0000148,33032,16015,C00025,5174,N[C@@H](CCC(O)=O)C(O)=O,1
L-(+)-tartaric acid,Tartaric acid,HMDB0000956,444305,15671,C00898,NA,O[C@H]([C@@H](O)C(O)=O)C(O)=O,1
Protocatechuic acid,Protocatechuic acid,HMDB0001856,72,36062,C00230,6350,OC(=O)C1=CC(O)=C(O)C=C1,1
L-Histidine,Histidine,HMDB0000177,6274,15971,C00135,21,N[C@@H](CC1=CN=CN1)C(O)=O,1
3-Hydroxy-3-methylglutaric acid,3-Hydroxymethylglutaric acid,HMDB0000355,1662,16831,C03761,5344,CC(O)(CC(O)=O)CC(O)=O,1
Methyl 5-chloro-5-oxovalerate,NA,NA,NA,NA,NA,NA,NA,0
L-(+)-Rhamnose,Rhamnose,HMDB0000849,25310,62346,C00507,5812,C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O,1
Hinokitiol,beta-Thujaplicin,HMDB0035213,3611,10447,C09904,NA,CC(C)C1=CC(=O)C(O)=CC=C1,1
Homogentisic acid,Homogentisic acid,HMDB0000130,780,44747,C00544,331,OC(=O)CC1=C(O)C=CC(O)=C1,1
cis-Aconitic acid,cis-Aconitic acid,HMDB0000072,643757,32805,C00417,5130,OC(=O)C\C(=C\C(O)=O)C(O)=O,1
S-Sulforaphene,NA,NA,NA,NA,NA,NA,NA,0
L-Citrulline,Citrulline,HMDB0000904,9750,16349,C00327,16,N[C@@H](CCCNC(N)=O)C(O)=O,1
2-Isopropylmalic acid,2-Isopropylmalic acid,HMDB0000402,5280523,35128,C02504,339,CC(C)[C@@](O)(CC(O)=O)C(O)=O,1
N-Formyl-L-Methionine,N-Formyl-L-methionine,HMDB0001015,439750,16552,C03145,5945,CSCC[C@H](NC=O)C(O)=O,1
D-(-)-Gulono-gamma-lactone,NA,NA,NA,NA,NA,NA,NA,0
(R)-3-Amino-4-phenylbutyric acid,NA,NA,NA,NA,NA,NA,NA,0
"1,3-Dihydroxyacetone dimer",Dihydroxyacetone (dimer),HMDB0032222,4180364,NA,NA,NA,OCC1(O)COC(O)(CO)CO1,1
Acamprosate,Acamprosate,HMDB0014797,71158,51041,NA,NA,CC(=O)NCCCS(O)(=O)=O,1
L-Tyrosine,L-Tyrosine,HMDB0000158,6057,17895,C00082,34,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,1
L-Iditol,L-Iditol,HMDB0011632,5460044,18202,C01507,NA,OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,1
O-Phospho-L-serine,Phosphoserine,HMDB0000272,68841,15811,C01005,5270,N[C@@H](COP(O)(O)=O)C(O)=O,1
D-(-)-Quinic acid,Quinic acid,HMDB0003072,6508,17521,C00296,3329,O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O,1
D-Gluconic acid,Gluconic acid,HMDB0000625,10690,33198,C00257,345,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,1
"3,5,6-Trichloro-2-pyridinol","3,5,6-Trichloro-2-pyridinol",HMDB0039853,23017,83490,NA,NA,OC1=NC(Cl)=C(Cl)C=C1Cl,1
D-Erythrose-4-phosphate,D-Erythrose 4-phosphate,HMDB0001321,122357,48153,C00279,6158,O[C@H](COP(O)(O)=O)[C@@H](O)C=O,1
MCPA,(4-Chloro-2-methylphenoxy)acetic acid,HMDB0254366,7204,50099,C18528,NA,CC1=CC(Cl)=CC=C1OCC(O)=O,1
Thiabendazole,Thiabendazole,HMDB0014868,5430,45979,C07131,NA,N1C2=CC=CC=C2N=C1C1=CSC=N1,1
"DL-6,8-Thioctic acid",NA,NA,NA,NA,NA,NA,NA,0
2-Deoxyribose 5-phosphate,Deoxyribose 5-phosphate,HMDB0001031,45934311,16132,C00673,5956,O[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1,1
"2,4-D","2,4-Dichlorophenoxyacetic acid",HMDB0041797,1486,28854,C03664,NA,OC(=O)COC1=C(Cl)C=C(Cl)C=C1,1
L(+)-Cystathionine,NA,NA,NA,NA,NA,NA,NA,0
Methyl Jasmonic acid,Methyl jasmonate,HMDB0036583,5367719,15929,C11512,NA,CC\C=C/C[C@@H]1[C@@H](CC(=O)OC)CCC1=O,1
Methyl Dihydrojasmonate,Methyl dihydrojasmonate,HMDB0031740,102861,89741,NA,NA,CCCCC[C@@H]1[C@@H](CC(=O)OC)CCC1=O,1
MCPB,NA,NA,NA,NA,NA,NA,NA,0
Resveratrol,Resveratrol,HMDB0003747,445154,45713,C03582,NA,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1,1
Dinoseb,"(Â±)-2-(1-Methylpropyl)-4,6-dinitrophenol",HMDB0032559,6950,83632,C14302,NA,CCC(C)C1=C(O)C(=CC(=C1)N(=O)=O)N(=O)=O,1
L-Homocarnosine,Homocarnosine,HMDB0000745,10243361,85981,C00884,270,NCCCC(=O)N[C@@H](CC1=CNC=N1)C(O)=O,1
33FTA,NA,NA,NA,NA,NA,NA,NA,0
Lapachol,Lapachol,HMDB0253978,3884,17176,C00609,NA,CC(C)=CCC1=C(O)C2=CC=CC=C2C(=O)C1=O,1
Fludioxonil,Fludioxonil,HMDB0252328,NA,81763,C18462,NA,FC1(F)OC2=CC=CC(=C2O1)C1=CNC=C1C#N,1
Fluroxypyr,NA,NA,NA,NA,NA,NA,NA,0
D-Glucose 1-phosphate,D-Glucose 1-phosphate,NA,3403,29042,C00103,NA,NA,1
"(+/-)-cis,trans-abscisic acid",NA,NA,NA,NA,NA,NA,NA,0
16-Hydroxyhexadecanoic acid,16-Hydroxyhexadecanoic acid,HMDB0006294,10466,55328,C18218,NA,OCCCCCCCCCCCCCCCC(O)=O,1
Linoleic acid,Linoleic acid,HMDB0000673,5280450,17351,C01595,191,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,1
Oleic acid,Oleic acid,HMDB0000207,445639,16196,C00712,190,CCCCCCCC\C=C/CCCCCCCC(O)=O,1
Oxazepam,Oxazepam,HMDB0014980,4616,7823,C07359,NA,OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2,1
"2,7-Naphthalenedisulfonic acid",NA,NA,NA,NA,NA,NA,NA,0
62FTA,NA,NA,NA,NA,NA,NA,NA,0
Aspartame,Aspartame,HMDB0001894,134601,2877,C11045,6377,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,1
[6]-Gingerol,Gingerol,HMDB0005783,3473,NA,C10462,NA,CCCCCC(O)CC(=O)CCC1=CC=C(O)C(OC)=C1,1
"12,13-EODE",NA,NA,NA,NA,NA,NA,NA,0
Ricinoleic acid,Ricinoleic acid,HMDB0034297,5282942,85639,C08365,NA,CCCCCCC(O)C\C=C/CCCCCCCC(O)=O,1
Delphinidin,Delphinidin,HMDB0003074,128853,28436,C05908,3432,OC1=CC(O)=C2C=C(O)C(=[O+]C2=C1)C1=CC(O)=C(O)C(O)=C1,1
2'-Deoxyuridine 5'-monophosphate,dUMP,HMDB0001409,65063,17622,C00365,6225,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O,1
13-HpOTrE(r),NA,NA,NA,NA,NA,NA,NA,0
13-HPODE,13-L-Hydroperoxylinoleic acid,HMDB0003871,5280720,15655,C04717,NA,CCCCC[C@H](OO)\C=C\C=C/CCCCCCCC(O)=O,1
Thymidine-5'-monophosphate,5-Thymidylic acid,HMDB0001227,9700,17013,C00364,6092,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O,1
Metolachlor ESA,NA,NA,NA,NA,NA,NA,NA,0
2'-Deoxyadenosine 5'-monophosphate,Deoxyadenosine monophosphate,HMDB0000905,12599,17713,C00360,3461,NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1,1
Gibberellin A4,Gibberellin A4,HMDB0303447,622971,NA,C11864,NA,CC12C3C(C(O)=O)C45CC(CCC4C3(CCC1O)OC2=O)C(=C)C5,1
"8,15-DiHETE","8,15-DiHETE",HMDB0010219,53480358,88456,NA,NA,CCCCCC(O)\C=C\C=C/C=C/C(O)C\C=C/CCCC(O)=O,1
53FTA,NA,NA,NA,NA,NA,NA,NA,0
Sucrose,Sucrose,HMDB0000258,5988,17992,C00089,137,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,1
Maltitol,Maltitol,HMDB0002928,493591,68428,NA,3484,OC[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,1
17-HDoHE,17-HDoHE,HMDB0010213,6439179,72637,NA,NA,CC\C=C/CC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O,1
Gibberellin A3,Gibberellin A3,HMDB0003559,6466,28833,C01699,6954,[H][C@@]12CC[C@]3(O)C[C@]1(CC3=C)[C@@H](C(O)=O)[C@]1([H])[C@@]3(C)[C@@H](O)C=C[C@@]21OC3=O,1
Gibberellin A1,Gibberellin A1,METPA0089,NA,27717,C00859,NA,NA,1
trans-Zeatin riboside,trans-zeatin riboside,HMDB0304506,NA,71693,C16431,NA,C\C(CO)=C/CNC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
PGF2a,Prostaglandin F2a,HMDB0001139,5283078,15553,C00639,6032,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C\CCCC(O)=O,1
TxB2,Thromboxane B2,HMDB0003252,5283137,28728,C05963,422,CCCCC[C@H](O)\C=C\[C@H]1OC(O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O,1
Fipronil-desulfinyl,NA,NA,NA,NA,NA,NA,NA,0
Deoxycholic acid,Deoxycholic acid,HMDB0000626,222528,28834,C04483,265,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,1
Forskolin,Forskolin,HMDB0252457,3413,93891,C09076,NA,CC(=O)OC1C(O)C2C(C)(C)CCC(O)C2(C)C2(O)C(=O)CC(C)(OC12C)C=C,1
Liquiritin,Liquiritin,HMDB0029520,3794292,NA,C16989,NA,OCC1OC(OC2=CC=C(C=C2)C2CC(=O)C3=C(O2)C=C(O)C=C3)C(O)C(O)C1O,1
Callistephin,Callistephin,NA,44256621,NA,NA,NA,OCC1O(Oc2cc3c(O)cc(O)cc3c2-c2ccc(O)cc2)C(O)C(O)1O,1
Kaempferol-3-Glucuronide,NA,NA,NA,NA,NA,NA,NA,0
7-Methylthioheptyl glucosinolate,7-methylthioheptyl glucosinolate,HMDB0304242,74960823,80988,C17252,NA,CSCCCCCCCC(SC1OC(CO)C(O)C(O)C1O)=NOS(O)(=O)=O,1
Phosphatidylethanolamine lyso 18,NA,NA,NA,NA,NA,NA,NA,0
Phosphatidylinositol lyso 16,NA,NA,NA,NA,NA,NA,NA,0
Phosphatidylinositol lyso 18,NA,NA,NA,NA,NA,NA,NA,0
Phosphatidylethanolamine 16,NA,NA,NA,NA,NA,NA,NA,0
Phosphatidylinositol 16,NA,NA,NA,NA,NA,NA,NA,0
Phosphatidylinositol 18,NA,NA,NA,NA,NA,NA,NA,0
Chikusetsusaponin III,NA,NA,NA,NA,NA,NA,NA,0